name,path,xsec
sm,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/sm_LO/sm_wzg_LO.root,3.52609E-02
aQGC_all0,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/QCKM_84510_0.root,3.44751E-02
FM0_1.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_1_10_84511_0.root,3.45998E-02
FM0_1.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_1_11_84512_0.root,3.43142E-02
FM0_1.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_1_9_84513_0.root,3.58761E-02
FM0_2.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_2_10_84514_0.root,3.44669E-02
FM0_2.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_2_11_84515_0.root,3.41929E-02
FM0_2.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_2_9_84516_0.root,3.98876E-02
FM0_3.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_3_10_84517_0.root,3.44891E-02
FM0_3.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_3_11_84518_0.root,3.43600E-02
FM0_3.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_3_9_84519_0.root,4.68951E-02
FM0_4.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_4_10_84520_0.root,3.45162E-02
FM0_4.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_4_11_84521_0.root,3.43980E-02
FM0_4.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_4_9_84522_0.root,5.68255E-02
FM0_5.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/aQGC/condorOut/roots/FM0_5_10_84523_0.root,3.48328E-02
