name,path,xsec
sm,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/SM_85896*.root,0.0384
aQGC_all0,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/QCKM_*.root,0.0343678882639
FT0_1.00E-12,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FT0_1_12*.root,3.44562E-02
FT0_2.00E-12,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FT0_2_12*.root,3.46521E-02
FT0_3.00E-12,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FT0_3_12*.root,3.49812E-02
FT0_4.00E-12,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FT0_4_12*.root,3.53465E-02
FT0_5.00E-12,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FT0_5_12*.root,3.60746E-02
FT0_-1.00E-12,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FT0_-1_12_*.root,3.43983E-02
FT0_-2.00E-12,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FT0_-2_12_*.root,3.45050E-02
FT0_-3.00E-12,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FT0_-3_12_*.root,3.51063E-02
FM0_1.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_1_11*.root,3.42852E-02
FM0_2.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_2_11*.root,3.43269E-02
FM0_3.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_3_11*.root,3.44461E-02
FM0_4.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_4_11*.root,3.44928E-02
FM0_5.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_5_11*.root,3.44790E-02
FM0_6.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_6_11*.root,3.45885E-02
FM0_1.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_1_10*.root,3.44676E-02
FM0_2.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_2_10*.root,3.44876E-02
FM0_3.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_3_10*.root,3.45977E-02
FM0_4.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_4_10*.root,3.47756E-02
FM0_5.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_5_10*.root,3.46403E-02
FM0_6.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_6_10*.root,3.49713E-02
FM0_1.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_1_9_*.root,3.57773E-02
FM0_2.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_2_9_*.root,3.97942E-02
FM0_3.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_3_9_*.root,4.70301E-02
FM0_4.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM0_4_9_*.root,5.67766E-02
FM1_1.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_1_11*.root,3.43556E-02
FM1_3.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_3_11*.root,3.41246E-02
FM1_5.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_5_11*.root,3.42146E-02
FM1_7.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_7_11*.root,3.43159E-02
FM1_1.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_1_10*.root,3.44317E-02
FM1_3.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_3_10*.root,3.42742E-02
FM1_5.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_5_10*.root,3.45055E-02
FM1_7.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_7_10*.root,3.47080E-02
FM1_1.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_1_9_*.root,3.49474E-02
FM1_3.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_3_9_*.root,3.87990E-02
FM1_5.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM1_5_9_*.root,4.71688E-02
FM2_3.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM2_3_11*.root,3.43558E-02
FM2_4.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM2_4_11*.root,3.42669E-02
FM2_5.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM2_5_11*.root,3.44867E-02
FM2_1.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM2_1_10*.root,3.45483E-02
FM2_2.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM2_2_10*.root,3.48090E-02
FM2_3.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM2_3_10*.root,3.54194E-02
FM2_4.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM2_4_10*.root,3.58537E-02
FM2_5.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM2_5_10*.root,3.69026E-02
FM3_1.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_1_11*.root,3.42510E-02
FM3_2.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_2_11*.root,3.43588E-02
FM3_3.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_3_11*.root,3.42941E-02
FM3_4.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_4_11*.root,3.45292E-02
FM3_5.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_5_11*.root,3.45138E-02
FM3_6.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_6_11*.root,3.44020E-02
FM3_7.00E-11,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_7_11*.root,3.43393E-02
FM3_1.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_1_10*.root,3.44623E-02
FM3_2.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_2_10*.root,3.45466E-02
FM3_3.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_3_10*.root,3.46022E-02
FM3_4.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_4_10*.root,3.47654E-02
FM3_5.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_5_10*.root,3.52298E-02
FM3_6.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_6_10*.root,3.55915E-02
FM3_7.00E-10,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_7_10*.root,3.61935E-02
FM3_1.00E-9,/x5/cms/jwkim/Generator/aQGC_reweight/13TeV/store/roots/FM3_1_9_*.root,3.78419E-02
