Uncertainty, Min, Max, Min(%), Max(%)
FakePho_closure , FakePho_18 ,  FakePho_17,  5.973 , 25.321
FakePho_iso , FakePho_17 ,  FakePho_16,  0.127 , 2.223
FakePho_mc , FakePho_16 ,  FakePho_18,  1.270 , 3.613
FakePho_sta_16 , FakePho_16 ,  FakePho_16,  1.554 , 1.554
FakePho_sta_17 , FakePho_17 ,  FakePho_17,  1.310 , 1.310
FakePho_sta_18 , FakePho_18 ,  FakePho_18,  24.696 , 24.696
HLT_method_sys , aQGC_16 ,  aQGC_16,  1.000 , 1.000
HLT_sta_18 , aQGC_18 ,  aQGC_18,  0.200 , 0.200
SR_FakeLep_stat_16_bin2 , FakeLep_16 ,  FakeLep_16,  73.249 , 73.249
SR_FakeLep_stat_17_bin2 , FakeLep_17 ,  FakeLep_17,  125.619 , 125.619
SR_FakeLep_stat_18_bin2 , FakeLep_18 ,  FakeLep_18,  100.344 , 100.344
SR_FakePho_stat_16_bin2 , FakePho_16 ,  FakePho_16,  115.152 , 115.152
SR_FakePho_stat_17_bin2 , FakePho_17 ,  FakePho_17,  112.659 , 112.659
SR_FakePho_stat_18_bin2 , FakePho_18 ,  FakePho_18,  118.353 , 118.353
SR_HLT_stat_16_bin2 , aQGC_16 ,  aQGC_16,  0.300 , 0.300
SR_HLT_stat_17_bin2 , aQGC_17 ,  aQGC_17,  0.300 , 0.300
SR_Top_stat_16_bin2 , Top_16 ,  Top_16,  58.636 , 58.636
SR_Top_stat_17_bin2 , Top_17 ,  Top_17,  18.947 , 18.947
SR_Top_stat_18_bin2 , Top_18 ,  Top_18,  47.404 , 47.404
SR_VG_stat_17_bin2 , VG_17 ,  VG_17,  100.000 , 100.000
SR_VVV_stat_17_bin2 , VVV_17 ,  VVV_17,  100.000 , 100.000
SR_VVV_stat_18_bin2 , VVV_18 ,  VVV_18,  15.066 , 15.066
SR_VV_stat_16_bin2 , VV_16 ,  VV_16,  9.946 , 9.946
SR_VV_stat_17_bin2 , VV_17 ,  VV_17,  8.673 , 8.673
SR_VV_stat_18_bin2 , VV_18 ,  VV_18,  8.250 , 8.250
SR_aQGC_stat_16_bin2 , aQGC_16 ,  aQGC_16,  9.445 , 9.445
SR_aQGC_stat_17_bin2 , aQGC_17 ,  aQGC_17,  8.401 , 8.401
SR_aQGC_stat_18_bin2 , aQGC_18 ,  aQGC_18,  8.625 , 8.625
Top_PSWeight_fsr , Top_16 ,  Top_17,  24.314 , 81.993
Top_PSWeight_isr , Top_18 ,  Top_17,  7.706 , 13.534
Top_pdf , Top_18 ,  Top_16,  15.509 , 114.373
Top_scale , Top_18 ,  Top_17,  10.963 , 24.745
VG_PSWeight_fsr , VG_17 ,  VG_17,  26.819 , 26.819
VG_PSWeight_isr , VG_17 ,  VG_17,  7.431 , 7.431
VG_pdf , VG_17 ,  VG_17,  2.958 , 2.958
VG_scale , VG_17 ,  VG_17,  25.354 , 25.354
VVV_PSWeight_fsr , VVV_18 ,  VVV_17,  37.586 , 85.248
VVV_PSWeight_isr , VVV_18 ,  VVV_17,  8.638 , 11.902
VVV_pdf , VVV_17 ,  VVV_18,  2.385 , 4.769
VVV_scale , VVV_18 ,  VVV_17,  12.681 , 22.656
VV_PSWeight_fsr , VV_18 ,  VV_17,  28.888 , 29.967
VV_PSWeight_isr , VV_17 ,  VV_16,  7.794 , 9.254
VV_pdf , VV_18 ,  VV_16,  3.449 , 4.650
VV_scale , VV_18 ,  VV_17,  3.195 , 3.308
WZG_PSWeight_fsr , aQGC_16 ,  aQGC_17,  1.341 , 8.613
WZG_PSWeight_isr , aQGC_18 ,  aQGC_16,  0.431 , 0.912
WZG_pdf , aQGC_16 ,  aQGC_18,  4.762 , 6.866
WZG_scale , aQGC_17 ,  aQGC_18,  7.824 , 8.506
btagWeight_bc_corr , VG_16 ,  VVV_17,  0.000 , 0.549
btagWeight_bc_uncorr_16 , VG_16 ,  Top_16,  0.000 , 0.102
btagWeight_bc_uncorr_17 , VG_17 ,  VVV_17,  0.000 , 0.549
