uncertainty,type,aQGC,FakeLep,FakePho,Top,VV,VVV,VG
lumi_17,lnN,1.02,,1.02,1.02,1.02,1.02,1.02
lumi_fullrun2,lnN,1.009,,1.009,1.009,1.009,1.009,1.009
lumi_1718,lnN,1.006,,1.006,1.006,1.006,1.006,1.006
JES_17,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
JER_17,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
FakeLepton_Sys_17,lnN,,auto_cal,,,,,
FakeLepton_Stat_17,lnN,,auto_cal,,,,,
FakePho,lnN,,,1.3,,,,
HLT_method_sys,lnN,1.01,,,1.01,1.01,1.01,1.01
HLT_sta_17,lnN,1.003,,,1.003,1.003,1.003,1.003
photon_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
muon_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_reco,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
pileup,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
l1pref,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
aQGC_stat_17,lnN,auto_cal,,,,,,
FakeLep_stat_17,lnN,,auto_cal,,,,,
FakePho_stat_17,lnN,,,auto_cal,,,,
Top_stat_17,lnN,,,,auto_cal,,,
VV_stat_17,lnN,,,,,auto_cal,,
VVV_stat_17,lnN,,,,,,auto_cal,
VG_stat_17,lnN,,,,,,,auto_cal
VV_scale,rateParam,*,VV,1.0,"[0,5]",,,
