,name,-95CLs,+95CLs
1,FM0,-573.5999755859375,570.4000244140625
0,FM1,-933.0,933.0
11,FM2,-280.79998779296875,282.3999938964844
2,FM3,-471.20001220703125,471.20001220703125
3,FM4,-16.100000381469727,16.5
8,FM5,-13.699999809265137,14.100000381469727
7,FM7,-95.0999984741211,95.69999694824219
12,FT0,-3.2249999046325684,3.2249999046325684
5,FT1,-4.284999847412109,4.255000114440918
4,FT2,-8.699999809265137,8.899999618530273
10,FT5,-3.1649999618530273,3.184999942779541
6,FT6,-4.164999961853027,4.215000152587891
9,FT7,-8.5,8.899999618530273
