,name,-95CLs,+95CLs
1,FM0,-476.0,474.3999938964844
0,FM1,-759.0,765.0
11,FM2,-232.8000030517578,234.39999389648438
2,FM3,-378.3999938964844,375.20001220703125
3,FM4,-12.899999618530273,13.5
8,FM5,-10.899999618530273,11.5
7,FM7,-75.9000015258789,76.5
12,FT0,-2.625,2.615000009536743
5,FT1,-3.2950000762939453,3.265000104904175
4,FT2,-7.150000095367432,7.150000095367432
10,FT5,-2.555000066757202,2.5850000381469727
6,FT6,-3.2049999237060547,3.244999885559082
9,FT7,-6.849999904632568,7.150000095367432
