,name,-95CLs,+95CLs
1,FM0,-474.3999938964844,472.79998779296875
0,FM1,-753.0,759.0
11,FM2,-231.1999969482422,232.8000030517578
2,FM3,-376.79998779296875,375.20001220703125
3,FM4,-12.899999618530273,13.300000190734863
8,FM5,-10.899999618530273,11.300000190734863
7,FM7,-75.9000015258789,76.5
12,FT0,-2.615000009536743,2.6050000190734863
5,FT1,-3.2850000858306885,3.255000114440918
4,FT2,-7.150000095367432,7.150000095367432
10,FT5,-2.5450000762939453,2.575000047683716
6,FT6,-3.194999933242798,3.234999895095825
9,FT7,-6.849999904632568,7.050000190734863
