uncertainty,type,aQGC,FakeLep,FakePho,Top,VV,VVV,VG
lumi_16,lnN,1.01,,,1.01,1.01,1.01,1.01
lumi_fullrun2,lnN,1.006,,,1.006,1.006,1.006,1.006
HLT_method_sys,lnN,1.01,,,1.01,1.01,1.01,1.01
HLT_stat_16,lnN,1.003,,,1.003,1.003,1.003,1.003
fakerate_16,lnN,,auto_cal,,,,,
fakerate_16Sys,lnN,,auto_cal,,,,,
FakePho_mc,lnN,,,auto_cal,,,,
FakePho_closure,lnN,,,auto_cal,,,,
FakePho_iso,lnN,,,auto_cal,,,,
FakePho_sta_16,lnN,,,auto_cal,,,,
jesTotal_16,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
jer_16,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
photon_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
muon_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_reco,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
pileup,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
l1pref,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
aQGC_stat_16,lnN,auto_cal,,,,,,
FakeLep_stat_16,lnN,,auto_cal,,,,,
FakePho_stat_16,lnN,,,auto_cal,,,,
Top_stat_16,lnN,,,,auto_cal,,,
VV_stat_16,lnN,,,,,auto_cal,,
VVV_stat_16,lnN,,,,,,auto_cal,
VG_stat_16,lnN,,,,,,,auto_cal
WZG_scale,lnN,auto_cal,,,,,,
WZG_pdf,lnN,auto_cal,,,,,,
WZG_PSWeight_isr,lnN,auto_cal,,,,,,
WZG_PSWeight_fsr,lnN,auto_cal,,,,,,
Top_scale,lnN,,,,auto_cal,,,
Top_pdf,lnN,,,,auto_cal,,,
Top_PSWeight_isr,lnN,,,,auto_cal,,,
Top_PSWeight_fsr,lnN,,,,auto_cal,,,
VV_scale,lnN,,,,,auto_cal,,
VV_pdf,lnN,,,,,auto_cal,,
VV_PSWeight_isr,lnN,,,,,auto_cal,,
VV_PSWeight_fsr,lnN,,,,,auto_cal,,
VVV_scale,lnN,,,,,,auto_cal,
VVV_pdf,lnN,,,,,,auto_cal,
VVV_PSWeight_isr,lnN,,,,,,auto_cal,
VVV_PSWeight_fsr,lnN,,,,,,auto_cal,
VG_scale,lnN,,,,,,,auto_cal
VG_pdf,lnN,,,,,,,auto_cal
VG_PSWeight_isr,lnN,,,,,,,auto_cal
VG_PSWeight_fsr,lnN,,,,,,,auto_cal
btagWeight_bc_corr,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
btagWeight_l_corr,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
btagWeight_bc_uncorr_16,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
btagWeight_l_uncorr_16,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
VV_Norm,rateParam,*,VV,1.0,[0.2]
