Operator,Chi2,NDF,P-value
FM0,0.004840503923742198,11,1.0
FM1,0.01810342239722984,11,0.9999999999999801
FM2,0.06447255259812962,11,0.9999999999788731
FM3,0.0789451342750157,11,0.9999999999360404
FM4,0.1725232063979124,15,0.9999999999993107
FM5,0.2093409761233515,15,0.9999999999971066
FM7,0.21930655311104771,15,0.999999999995917
FT0,0.24678444508459427,15,0.9999999999902227
FT1,0.2640913247018533,15,0.9999999999838683
FT2,0.2932063491903743,15,0.9999999999651057
FT5,0.3222473817087134,15,0.9999999999300446
FT6,0.3223967688154314,15,0.9999999999298057
FT7,0.32226068288768617,15,0.9999999999300234
