Uncertainty, Min, Max, Min(%), Max(%)
FakePho_closure , FakePho_ch3 ,  FakePho_ch2,  6.590 , 25.295
FakePho_iso , FakePho_ch2 ,  FakePho_ch1,  0.126 , 2.214
FakePho_mc , FakePho_ch1 ,  FakePho_ch3,  0.882 , 10.415
FakePho_sta_16 , FakePho_ch1 ,  FakePho_ch1,  1.529 , 1.529
FakePho_sta_17 , FakePho_ch2 ,  FakePho_ch2,  1.306 , 1.306
FakePho_sta_18 , FakePho_ch3 ,  FakePho_ch3,  25.192 , 25.192
HLT_method_sys , aQGC_ch1 ,  aQGC_ch1,  1.000 , 1.000
HLT_sta_16 , aQGC_ch1 ,  aQGC_ch1,  0.300 , 0.300
HLT_sta_17 , aQGC_ch2 ,  aQGC_ch2,  0.300 , 0.300
HLT_sta_18 , aQGC_ch3 ,  aQGC_ch3,  0.200 , 0.200
SR_FakeLep_stat_16_bin2 , FakeLep_ch1 ,  FakeLep_ch1,  73.438 , 73.438
SR_FakeLep_stat_17_bin2 , FakeLep_ch2 ,  FakeLep_ch2,  126.991 , 126.991
SR_FakeLep_stat_18_bin2 , FakeLep_ch3 ,  FakeLep_ch3,  113.270 , 113.270
SR_FakePho_stat_16_bin2 , FakePho_ch1 ,  FakePho_ch1,  115.721 , 115.721
SR_FakePho_stat_17_bin2 , FakePho_ch2 ,  FakePho_ch2,  112.876 , 112.876
SR_FakePho_stat_18_bin2 , FakePho_ch3 ,  FakePho_ch3,  121.260 , 121.260
SR_Top_stat_16_bin2 , Top_ch1 ,  Top_ch1,  63.194 , 63.194
SR_Top_stat_17_bin2 , Top_ch2 ,  Top_ch2,  17.783 , 17.783
SR_Top_stat_18_bin2 , Top_ch3 ,  Top_ch3,  42.440 , 42.440
SR_VG_stat_17_bin2 , VG_ch2 ,  VG_ch2,  100.000 , 100.000
SR_VVV_stat_17_bin2 , VVV_ch2 ,  VVV_ch2,  100.000 , 100.000
SR_VVV_stat_18_bin2 , VVV_ch3 ,  VVV_ch3,  14.899 , 14.899
SR_VV_stat_16_bin2 , VV_ch1 ,  VV_ch1,  10.911 , 10.911
SR_VV_stat_17_bin2 , VV_ch2 ,  VV_ch2,  8.789 , 8.789
SR_VV_stat_18_bin2 , VV_ch3 ,  VV_ch3,  8.014 , 8.014
SR_aQGC_stat_16_bin2 , aQGC_ch1 ,  aQGC_ch1,  9.445 , 9.445
SR_aQGC_stat_17_bin2 , aQGC_ch2 ,  aQGC_ch2,  8.401 , 8.401
SR_aQGC_stat_18_bin2 , aQGC_ch3 ,  aQGC_ch3,  8.625 , 8.625
