process                  type                  aQGC_ch1      VG_ch1        VVV_ch1       Top_ch1       FakePho_ch1   VV_ch1        FakeLep_ch1   aQGC_ch2      VG_ch2        VVV_ch2       Top_ch2       FakePho_ch2   VV_ch2        FakeLep_ch2   aQGC_ch3      VG_ch3        VVV_ch3       Top_ch3       FakePho_ch3   VV_ch3        FakeLep_ch3 
FakePho_closure         lnN                -         -         -         -         1.080371  -         -         -         -         -         -         1.252955  -         -         -         -         -         -         1.065899  -         -       
FakePho_iso             lnN                -         -         -         -         1.022143  -         -         -         -         -         -         1.001264  -         -         -         -         -         -         1.002363  -         -       
FakePho_mc              lnN                -         -         -         -         1.008818  -         -         -         -         -         -         1.032617  -         -         -         -         -         -         1.104153  -         -       
FakePho_sta_16          lnN                -         -         -         -         1.015294  -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -       
FakePho_sta_17          lnN                -         -         -         -         -         -         -         -         -         -         -         1.013057  -         -         -         -         -         -         -         -         -       
FakePho_sta_18          lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.251924  -         -       
HLT_method_sys          lnN                1.01      1.01      1.01      1.01      -         1.01      -         1.01      1.01      1.01      1.01      -         1.01      -         1.01      1.01      1.01      1.01      -         1.01      -       
HLT_sta_16              lnN                1.003     1.003     1.003     1.003     -         1.003     -         -         -         -         -         -         -         -         -         -         -         -         -         -         -       
HLT_sta_17              lnN                -         -         -         -         -         -         -         1.003     1.003     1.003     1.003     -         1.003     -         -         -         -         -         -         -         -       
HLT_sta_18              lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.002     1.002     1.002     1.002     -         1.002     -       
SR_FakeLep_stat_16_bin2   lnN              -         -         -         -         -         -         1.734382  -         -         -         -         -         -         -         -         -         -         -         -         -         -       
SR_FakeLep_stat_17_bin2   lnN              -         -         -         -         -         -         -         -         -         -         -         -         -         2.269911  -         -         -         -         -         -         -       
SR_FakeLep_stat_18_bin2   lnN              -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         -         2.1327  
