,name,-95CLs,+95CLs
1,FM0,-580.0,576.7999877929688
0,FM1,-939.0,939.0
11,FM2,-284.0,285.6000061035156
2,FM3,-477.6000061035156,476.0
3,FM4,-16.299999237060547,16.700000762939453
8,FM5,-13.899999618530273,14.300000190734863
7,FM7,-95.69999694824219,96.9000015258789
12,FT0,-3.265000104904175,3.265000104904175
5,FT1,-4.335000038146973,4.295000076293945
4,FT2,-8.899999618530273,8.899999618530273
10,FT5,-3.194999933242798,3.2249999046325684
6,FT6,-4.204999923706055,4.264999866485596
9,FT7,-8.699999809265137,8.899999618530273
