,name,-95CLs,+95CLs
1,FM0,-506.3999938964844,504.79998779296875
0,FM1,-807.0,813.0
11,FM2,-247.1999969482422,248.8000030517578
2,FM3,-402.3999938964844,399.20001220703125
3,FM4,-13.699999809265137,14.300000190734863
8,FM5,-11.699999809265137,12.100000381469727
7,FM7,-80.69999694824219,81.30000305175781
12,FT0,-2.7850000858306885,2.7750000953674316
5,FT1,-3.505000114440918,3.4749999046325684
4,FT2,-7.650000095367432,7.550000190734863
10,FT5,-2.7149999141693115,2.744999885559082
6,FT6,-3.4049999713897705,3.4549999237060547
9,FT7,-7.349999904632568,7.550000190734863
